Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
80,0.0465,0.6999,0.9860,0.7131,0.8715,0.3038,0.3799,0.3376,0.8212,0.8314
81,0.0486,0.6916,0.9847,0.7206,0.9009,0.4004,0.3012,0.3438,0.8637,0.8486
82,0.0499,0.6393,0.9847,0.7275,0.9059,0.4342,0.3025,0.3566,0.8574,0.8428
83,0.0371,0.6922,0.9895,0.7263,0.9044,0.4232,0.2998,0.3510,0.8382,0.8345
84,0.0350,0.7659,0.9899,0.7254,0.9102,0.4646,0.2738,0.3445,0.8640,0.8522
85,0.0507,0.7013,0.9849,0.7403,0.9044,0.4193,0.2827,0.3377,0.8473,0.8348
86,0.0487,0.6717,0.9856,0.7379,0.9029,0.4170,0.3162,0.3597,0.8787,0.8617
87,0.0363,0.7353,0.9886,0.7539,0.9064,0.4405,0.3190,0.3700,0.8378,0.8442
88,0.0328,0.8194,0.9904,0.7452,0.9126,0.4873,0.2752,0.3517,0.8956,0.8770
89,0.0342,0.7979,0.9898,0.7144,0.9071,0.4384,0.2779,0.3402,0.8733,0.8662
90,0.0447,0.8029,0.9862,0.7180,0.9071,0.4421,0.2977,0.3558,0.8563,0.8467
91,0.0308,0.8336,0.9911,0.7257,0.9069,0.4411,0.2998,0.3570,0.8517,0.8494
92,0.0286,0.8921,0.9918,0.7281,0.9134,0.4962,0.2676,0.3477,0.9050,0.8803
93,0.0329,0.8408,0.9900,0.7240,0.9112,0.4737,0.2717,0.3454,0.8640,0.8490
94,0.0278,0.9074,0.9920,0.7313,0.9082,0.4492,0.2875,0.3506,0.8646,0.8597
95,0.0304,1.0148,0.9909,0.7055,0.9117,0.4767,0.2450,0.3237,0.8956,0.8636
96,0.0357,0.9066,0.9894,0.7459,0.9139,0.5006,0.2841,0.3624,0.8322,0.8399
97,0.0293,0.8922,0.9915,0.7194,0.8973,0.3870,0.3272,0.3546,0.9075,0.8847
98,0.0262,0.9753,0.9928,0.7211,0.9132,0.4932,0.2717,0.3504,0.8353,0.8388
99,0.0266,0.9481,0.9921,0.7284,0.9121,0.4835,0.2902,0.3627,0.8783,0.8672
100,0.0457,0.7527,0.9872,0.7314,0.8724,0.3102,0.3922,0.3464,0.8381,0.8342
101,0.0381,0.7712,0.9885,0.7248,0.8903,0.3566,0.3388,0.3475,0.8652,0.8421
102,0.0932,1.1366,0.9751,0.6880,0.9123,0.4729,0.1492,0.2268,0.8039,0.7861
103,0.1317,0.4965,0.9560,0.7541,0.8972,0.3760,0.2916,0.3285,0.8281,0.8261
104,0.0808,0.5839,0.9749,0.7606,0.9113,0.4666,0.2053,0.2852,0.8751,0.8576
105,0.0674,0.5987,0.9765,0.7522,0.9010,0.3985,0.2916,0.3368,0.8880,0.8688
106,0.0673,0.6360,0.9773,0.7487,0.9129,0.4906,0.2676,0.3463,0.8546,0.8498
107,0.0720,0.5961,0.9771,0.7337,0.9012,0.3887,0.2546,0.3077,0.8752,0.8513
108,0.0484,0.6603,0.9839,0.7371,0.9142,0.5044,0.2368,0.3223,0.8329,0.8359
109,0.0498,0.6527,0.9849,0.7625,0.9062,0.4408,0.3285,0.3765,0.8726,0.8594
110,0.0340,0.7017,0.9904,0.7440,0.9022,0.4125,0.3162,0.3580,0.8559,0.8372
111,0.0360,0.8165,0.9895,0.7360,0.9109,0.4696,0.2642,0.3382,0.8685,0.8612
112,0.0309,0.7986,0.9902,0.7330,0.9066,0.4385,0.2977,0.3547,0.8814,0.8591
113,0.0279,0.8215,0.9919,0.7433,0.9020,0.4154,0.3361,0.3715,0.8409,0.8401
114,0.0327,0.8516,0.9902,0.7246,0.9042,0.4218,0.2991,0.3500,0.8514,0.8482
115,0.0257,0.9378,0.9923,0.7090,0.8989,0.3904,0.3073,0.3439,0.8575,0.8571
116,0.0276,0.7741,0.9921,0.7194,0.8951,0.3731,0.3190,0.3439,0.8751,0.8615
117,0.0242,0.9095,0.9930,0.7118,0.8982,0.3849,0.3032,0.3392,0.8607,0.8558
118,0.0219,0.9696,0.9938,0.7452,0.9111,0.4737,0.2834,0.3546,0.8444,0.8485
119,0.0234,0.9749,0.9935,0.7319,0.9109,0.4688,0.2567,0.3317,0.8942,0.8712
120,0.0260,0.9271,0.9926,0.7301,0.8952,0.3791,0.3381,0.3575,0.7842,0.7974
121,0.0259,0.8638,0.9926,0.7267,0.9015,0.4099,0.3238,0.3618,0.8822,0.8607
122,0.0243,0.9437,0.9930,0.7413,0.9032,0.4221,0.3340,0.3729,0.8637,0.8520
123,0.0227,1.0387,0.9935,0.7453,0.9139,0.5014,0.2505,0.3341,0.8359,0.8420
124,0.0339,0.8178,0.9908,0.7252,0.9063,0.4359,0.2957,0.3524,0.8741,0.8544
125,0.0289,0.7679,0.9911,0.7433,0.8976,0.3911,0.3368,0.3619,0.8904,0.8690
126,0.0263,0.8697,0.9925,0.7416,0.9070,0.4414,0.2991,0.3566,0.8755,0.8632
127,0.0229,0.8969,0.9936,0.7512,0.9055,0.4353,0.3244,0.3718,0.8720,0.8578
128,0.0382,0.7152,0.9912,0.7181,0.9021,0.4090,0.3060,0.3500,0.8787,0.8733
129,0.0814,0.7267,0.9777,0.7504,0.9097,0.4602,0.2772,0.3460,0.9070,0.8789
